"CODGEO","SURF","NOM","X","Y","EMPLOI99","ACTOCC99","P20ANS99","PNDIP99","TXCHOM99","INTAO99","PART99","PCAD99","PINT99","PEMP99","POUV99","PRET99","PMONO99","PREFETR99","RFUCQ201","EMPLOI06","ACTOCC06","P20ANS07","PNDIP07","TXCHOMA07","INTAO07","PART07","PCAD07","PINT07","PEMP07","POUV07","PRET07","PMONO07","PREFETR07","RFUCQ207","REFEROUI","LIBELLE","POP1936","POP1954","POP1962","POP1968","POP1975","POP1982","POP1990","POP1999","POP2008"
94070,979,"SANTENY",6173,24141,1029,1321,27,9,8,0,14,29,25,21,10,14,6,10,24499,1273,1624,28,12,8,1,11,30,27,22,9,16,7,8,28111,66.4,"SANTENY",461,666,701,774,2242,2621,2810,3140,3675
94071,1018,"SUCY-EN-BRIE",6133,24188,6462,10972,26,13,9,1,6,22,29,28,15,16,12,10,20970,6826,11654,27,15,8,1,5,26,29,26,14,19,10,9,24106,59.1,"SUCY-EN-BRIE",6883,8570,13258,17206,21984,23379,25839,24812,26089
94073,619,"THIAIS",6038,24182,10252,12618,26,18,12,1,5,17,28,31,19,14,14,14,18251,10420,13263,26,21,10,1,4,19,30,31,17,15,11,15,20794,49.8,"THIAIS",8247,10028,15116,22481,27298,26637,27515,28232,29616
94074,419,"VALENTON",6094,24165,3100,4535,33,28,17,1,4,5,21,39,32,10,19,24,12362,3167,4839,33,33,17,2,3,5,20,41,30,12,16,28,13609,22,"VALENTON",2448,2773,7713,10539,11152,10621,11110,11426,12222
94075,722,"VILLECRESNES",6147,24138,1546,3812,26,12,7,0,9,18,28,30,14,16,10,8,21084,1909,4426,26,15,6,0,6,21,30,30,13,19,10,9,24260,50.8,"VILLECRESNES",1803,2297,3031,3875,6053,6472,7921,8361,9401
94076,600,"VILLEJUIF",6016,24212,17370,20491,24,19,13,1,4,14,26,37,19,16,17,19,16103,18269,22129,25,22,12,1,4,18,26,35,17,16,12,19,17694,38.6,"VILLEJUIF",27540,29280,46116,51120,55606,52448,48405,47384,53240
94077,809,"VILLENEUVE-LE-ROI",6067,24152,4937,7627,25,23,13,1,6,8,24,34,29,17,15,24,16103,5902,8034,27,27,12,1,4,10,26,35,25,18,11,25,17981,35.4,"VILLENEUVE-LE-ROI",14400,16715,22300,23074,21096,20512,20325,18292,18457
94078,927,"VILLENEUVE-SAINT-GEORGES",6085,24151,10546,11890,29,24,14,2,4,6,19,40,30,13,16,21,13281,11470,12856,30,28,14,2,4,7,21,41,27,13,11,25,13771,32.7,"VILLENEUVE-SAINT-GEORGES",21134,21488,28091,30467,31664,28119,26952,28361,30820
94079,376,"VILLIERS-SUR-MARNE",6151,24257,4297,11614,28,19,12,1,5,14,27,33,21,13,13,18,16598,5829,13153,28,21,9,2,5,18,26,32,18,15,12,16,19161,46.3,"VILLIERS-SUR-MARNE",7020,9205,13068,15789,22293,22022,22740,26632,27457
94080,158,"VINCENNES",6075,24279,15022,21075,19,9,10,1,6,37,28,22,7,18,14,10,23675,17086,24823,20,9,8,1,5,42,27,20,6,17,7,10,28130,67.7,"VINCENNES",48967,50434,50436,49143,44261,42870,42267,43595,48118
94081,1122,"VITRY-SUR-SEINE",6038,24217,25531,32466,26,25,17,2,5,11,24,35,25,15,18,22,14226,27045,34224,27,29,15,2,5,12,23,36,24,15,13,22,15451,37,"VITRY-SUR-SEINE",45922,51507,64409,77846,87316,85263,82400,78908,84071
